Genome,portal_link,DMAT,HYBRID,NRPS,NRPS-Like,PKS,PKS-Like,TC,Total
Cochliobolus miyabeanus ATCC 44560 v1.0,https://mycocosm.jgi.doe.gov/Cocmi1,2,1,5,6,15,2,5,36
Cochliobolus sativus ND90Pr v1.0,https://mycocosm.jgi.doe.gov/Cocsa1,3,0,11,6,13,4,5,42
Cochliobolus victoriae FI3 v1.0,https://mycocosm.jgi.doe.gov/Cocvi1,3,2,8,7,14,3,6,43
Coemansia mojavensis RSA 71 v1.0,https://mycocosm.jgi.doe.gov/Coemoj1,0,0,1,0,6,1,0,8
Coemansia reversa NRRL 1564 v1.0,https://mycocosm.jgi.doe.gov/Coere1,0,0,1,0,6,2,0,9
Coemansia spiralis RSA 1278 v1.0,https://mycocosm.jgi.doe.gov/Coespi1,0,0,1,0,11,1,0,13
Cokeromyces recurvatus NRRL 2243 v1.0,https://mycocosm.jgi.doe.gov/Cokrec1,0,0,1,2,2,1,0,6
Colletotrichum abscissum IMI 504890,https://mycocosm.jgi.doe.gov/Colab1,6,3,9,10,18,2,9,57
Colletotrichum acutatum CBS 112980 v2.0,https://mycocosm.jgi.doe.gov/Colac2,5,3,7,11,17,2,8,53
Colletotrichum caudatum CBS131602 v1.0,https://mycocosm.jgi.doe.gov/Colca1,8,3,12,7,22,4,4,60
Colletotrichum cereale CBS 129662 v1.0,https://mycocosm.jgi.doe.gov/Colce1,7,2,9,8,33,5,4,68
Colletotrichum chlorophyti NTL11,https://mycocosm.jgi.doe.gov/Colch1,7,0,6,8,26,5,4,56
Colletotrichum costaricense IMI 309622,https://mycocosm.jgi.doe.gov/Colco1,5,3,9,10,18,2,9,56
Colletotrichum cuscutae IMI 304802,https://mycocosm.jgi.doe.gov/Colcu1,5,2,7,13,13,4,7,51
Colletotrichum eremochloae CBS129661 v1.0,https://mycocosm.jgi.doe.gov/Coler1,8,2,9,10,29,5,6,69
Colletotrichum falcatum MAFF306170 v1.0,https://mycocosm.jgi.doe.gov/Colfa1,6,3,7,9,23,4,4,56
Colletotrichum fioriniae PJ7,https://mycocosm.jgi.doe.gov/Colfi1,5,3,7,9,20,3,8,55
Colletotrichum gloeosporioides Cg-14,https://mycocosm.jgi.doe.gov/Colgl1,7,0,10,11,24,3,11,66
Colletotrichum godetiae CBS 193.32 v1.0,https://mycocosm.jgi.doe.gov/Colgo1,7,2,8,8,19,3,8,55
Colletotrichum graminicola M1.001,https://mycocosm.jgi.doe.gov/Colgr1,7,4,4,9,33,1,3,61
Colletotrichum higginsianum IMI 349063,https://mycocosm.jgi.doe.gov/Colhig2,7,4,12,11,28,5,6,73
Colletotrichum incanum MAFF 238712,https://mycocosm.jgi.doe.gov/Colin1,7,0,16,9,24,3,3,62
Colletotrichum lupini CBS 109225 v1.0,https://mycocosm.jgi.doe.gov/Collu1,6,5,8,11,18,2,8,58
Colletotrichum lupini IMI 504893,https://mycocosm.jgi.doe.gov/Collup1,6,4,10,10,18,3,8,59
Colletotrichum melonis CBS 134730,https://mycocosm.jgi.doe.gov/Colme1,5,4,8,10,18,2,8,55
Colletotrichum navitas CBS125086 v1.0,https://mycocosm.jgi.doe.gov/Colna1,7,2,11,8,31,6,4,69
Colletotrichum nymphaeae SA-01,https://mycocosm.jgi.doe.gov/Colny1,5,3,8,9,22,2,7,56
Colletotrichum orbiculare 104-T,https://mycocosm.jgi.doe.gov/Colorb1,6,3,9,10,20,3,4,55
Colletotrichum orchidophilum IMI 309357,https://mycocosm.jgi.doe.gov/Color1,5,2,9,9,16,2,4,47
Colletotrichum paranaense IMI 384185,https://mycocosm.jgi.doe.gov/Colpa1,5,4,8,11,17,2,7,54
Colletotrichum phormii CBS102054 v1.0,https://mycocosm.jgi.doe.gov/Colph1,8,3,12,7,17,3,8,58
Colletotrichum salicis CBS607.94,https://mycocosm.jgi.doe.gov/Colsa1,7,2,9,7,16,2,6,49
Colletotrichum simmondsii CBS122122,https://mycocosm.jgi.doe.gov/Colsi1,5,4,10,9,21,2,8,59
Colletotrichum somersetensis CBS 131599 v1.0,https://mycocosm.jgi.doe.gov/Colso1,7,4,10,11,26,2,3,63
Colletotrichum sp. CBS 101611,https://mycocosm.jgi.doe.gov/Colsp1,5,4,8,10,19,2,9,57
Colletotrichum sublineola CBS 131301 v1.0,https://mycocosm.jgi.doe.gov/Colsu1,7,6,8,8,26,3,6,64
Colletotrichum sublineola TX430BB,https://mycocosm.jgi.doe.gov/Colsub1,6,5,12,11,29,5,3,71
Colletotrichum tamarilloi CBS 129955,https://mycocosm.jgi.doe.gov/Colta1,5,4,9,10,17,3,8,56
Colletotrichum tofieldiae 0861,https://mycocosm.jgi.doe.gov/Colto1,11,1,12,9,25,2,4,64
Colletotrichum tofieldiae CBS 168.49,https://mycocosm.jgi.doe.gov/Coltof1,10,1,10,7,23,3,5,59
Colletotrichum zoysiae MAFF235873 v1.0,https://mycocosm.jgi.doe.gov/Colzo1,8,3,9,7,27,4,5,63
Conidiobolus coronatus NRRL28638 v1.0,https://mycocosm.jgi.doe.gov/Conco1,0,0,1,7,0,3,0,11
Conidiobolus thromboides FSU 785 v1.0,https://mycocosm.jgi.doe.gov/Conth1,0,0,0,4,1,1,0,6
Coniella lustricola B22-T-1 v1.0,https://mycocosm.jgi.doe.gov/Pilidi1,0,2,3,10,14,3,1,33
Coniochaeta ligniaria CBS 111746,https://mycocosm.jgi.doe.gov/Conli1,0,0,4,4,14,3,3,28
Coniochaeta ligniaria NRRL 30616 v1.0,https://mycocosm.jgi.doe.gov/Conlig1,0,1,4,4,15,2,2,28
Coniochaeta sp. 2T2.1 v1.0,https://mycocosm.jgi.doe.gov/Conioc1,1,4,12,9,31,5,4,66
Coniochaeta sp. PMI_546 v1.0,https://mycocosm.jgi.doe.gov/ConPMI546,0,1,7,3,10,2,2,25
Coniophora olivacea MUCL 20566 v1.0,https://mycocosm.jgi.doe.gov/Conol1,0,3,1,13,3,0,18,38
Coniophora puteana v1.0,https://mycocosm.jgi.doe.gov/Conpu1,0,1,1,17,2,2,17,40
Coniosporium apollinis CBS 100218,https://mycocosm.jgi.doe.gov/Conap1,0,1,1,3,3,2,1,11
Conocybe apala SZMC-NL-8967 v1.0,https://mycocosm.jgi.doe.gov/Conapa1,0,0,1,3,3,0,6,13
Coprinellus angulatus CBS 144469 v1.0,https://mycocosm.jgi.doe.gov/Copang1,1,0,1,4,3,1,6,16
Coprinellus micaceus FP101781 v2.0,https://mycocosm.jgi.doe.gov/Copmic2,0,2,1,4,4,0,7,18
Coprinellus pellucidus v1.0,https://mycocosm.jgi.doe.gov/Coppel1,0,0,1,2,2,0,9,14
Coprinopsis cinerea,https://mycocosm.jgi.doe.gov/Copci1,1,0,1,3,2,0,6,13
Coprinopsis cinerea AmutBmut pab1-1 v1.0,https://mycocosm.jgi.doe.gov/Copci_AmutBmut1,1,0,1,3,3,0,6,14
Coprinopsis marcescibilis CBS121175 v1.0,https://mycocosm.jgi.doe.gov/Copmar1,2,0,1,3,3,0,4,13
Coprinopsis sclerotiger v1.0,https://mycocosm.jgi.doe.gov/Copscl1,1,0,1,3,2,0,5,12
Coprinopsis sp. MPI-PUGE-AT-0042 v1.0,https://mycocosm.jgi.doe.gov/Copph3,1,0,1,3,3,0,9,17
Cordyceps militaris CM01,https://mycocosm.jgi.doe.gov/Cormi1,1,2,5,10,9,4,1,32
Cordyceps sp. RAO 2017,https://mycocosm.jgi.doe.gov/CorRAO_2017_1,2,1,12,11,13,5,1,45
Corollospora maritima CBS 119819 v2.0,https://mycocosm.jgi.doe.gov/Corma2,0,1,5,2,10,2,1,21
Cortinarius aff. campbellae TAS5-PSC4363 v1.0,https://mycocosm.jgi.doe.gov/Corcam1,0,1,0,1,7,2,22,33
Cortinarius austrovenetus TL2843-KIS7R v1.0,https://mycocosm.jgi.doe.gov/Coraus1,0,2,0,2,8,0,17,29
Cortinarius glaucopus AT 2004 276 v2.0,https://mycocosm.jgi.doe.gov/Corgl3,0,1,0,6,7,1,18,33
Cortinarius sp. KIS3-TL2766 v1.0,https://mycocosm.jgi.doe.gov/CorKIS3_1,0,2,0,9,7,2,8,28
Corynespora cassiicola CCP v1.0,https://mycocosm.jgi.doe.gov/Corca1,2,2,4,12,25,2,3,50
Crassisporium funariophilum CBS 144457 v1.0,https://mycocosm.jgi.doe.gov/Crafun1,2,1,1,5,4,0,6,19
Crepidotus cesatii CBS 511.95 v1.0,https://mycocosm.jgi.doe.gov/Creces1,0,1,0,3,2,1,7,14
Crepidotus variabilis CBS 506.95 v1.0,https://mycocosm.jgi.doe.gov/Crevar1,0,2,0,4,2,2,8,18
Cristinia sonorae KKN 215 v1.0,https://mycocosm.jgi.doe.gov/Crison1,0,0,0,14,2,0,5,21
Cronartium quercuum f. sp. fusiforme G11 v1.0,https://mycocosm.jgi.doe.gov/Croqu1,0,0,0,5,2,0,2,9
Crucibulum laeve CBS 166.37 v1.0,https://mycocosm.jgi.doe.gov/Crula1,2,0,1,18,4,0,19,44
Crustoderma dryinum OMC1663 v1.0,https://mycocosm.jgi.doe.gov/Crudry1,1,0,0,11,6,2,14,34
Cryomyces antarcticus CBS 116301 v3.0,https://mycocosm.jgi.doe.gov/Cryan3,0,0,1,9,1,3,0,14
Cryomyces minteri CCFEE 5187,https://mycocosm.jgi.doe.gov/Crymi1,0,0,2,9,2,4,0,17
Cryphonectria parasitica EP155 v2.0,https://mycocosm.jgi.doe.gov/Crypa2,2,4,5,9,18,4,4,46
Cryptococcus amylolentus CBS 6039,https://mycocosm.jgi.doe.gov/Cryam1,0,0,0,3,0,1,0,4
Cryptococcus curvatus ATCC 20509 v1.0,https://mycocosm.jgi.doe.gov/Crycu1,0,0,0,1,0,1,0,2
Cryptococcus gattii CA1873,https://mycocosm.jgi.doe.gov/CgaCA1873_1,0,0,0,2,0,1,0,3
Cryptococcus gattii VGII 2001/935-1,https://mycocosm.jgi.doe.gov/CgaVGII_1,0,0,0,2,0,1,0,3
Cryptococcus gattii VGIV IND107,https://mycocosm.jgi.doe.gov/CgaVGIV_1,0,0,0,2,0,1,0,3
Cryptococcus gattii WM276,https://mycocosm.jgi.doe.gov/CgaWM276_1,0,0,0,2,0,1,0,3
Cryptococcus neoformans var neoformans JEC21,https://mycocosm.jgi.doe.gov/Cryne_JEC21_1,0,0,0,2,0,1,0,3
Cryptococcus neoformans var. grubii H99,https://mycocosm.jgi.doe.gov/Cryne_H99_1,0,0,0,2,0,1,0,3
Cryptococcus terricola JCM 24523 v1.0,https://mycocosm.jgi.doe.gov/Cryte1,0,0,0,3,1,0,0,4
Cryptococcus wingfieldii CBS 7118,https://mycocosm.jgi.doe.gov/Tsuwi1,0,0,0,3,0,1,0,4
Cryptodiaporthe populea CFL2025 v1.0,https://mycocosm.jgi.doe.gov/Crypo1,5,4,9,8,28,2,4,60
Cryptodiaporthe sp. AZ0812 v1.0,https://mycocosm.jgi.doe.gov/Crypto1,5,5,9,17,15,3,3,57
Cucurbitaria berberidis CBS 394.84 v1.0,https://mycocosm.jgi.doe.gov/Cucbe1,0,1,4,5,10,2,1,23
Cunninghamella echinulata NRRL 1382 v1.0,https://mycocosm.jgi.doe.gov/Cunech1,0,0,1,0,1,1,0,3
Cyathus striatus AH 40144 v1.0,https://mycocosm.jgi.doe.gov/Cyastr2,2,2,2,16,1,1,20,44
Cyberlindnera fabianii 65,https://mycocosm.jgi.doe.gov/Cybfa1,0,0,0,1,0,2,0,3
Cyberlindnera jadinii NRRL Y-1542 v1.0,https://mycocosm.jgi.doe.gov/Cybja1,0,0,0,1,0,2,0,3
Cylindrobasidium torrendii FP15055 v1.0,https://mycocosm.jgi.doe.gov/Cylto1,0,0,1,6,2,0,9,18
Cylindrocarpon olidum MPI-CAGE-CH-0241 v1.0,https://mycocosm.jgi.doe.gov/Cylol1,1,5,8,12,15,4,5,50
Cyphellophora europaea CBS 101466,https://mycocosm.jgi.doe.gov/Cypeu1,0,0,4,5,2,2,0,13
Cystobasidium minutum MCA 4210 v1.0,https://mycocosm.jgi.doe.gov/Rhomi1,0,0,0,3,1,0,0,4
Cystostereum murrayi CysMur001 v1.0,https://mycocosm.jgi.doe.gov/Cysmur1,0,0,1,16,4,0,7,28
Cytidiella melzeri FP 102339 v1.0,https://mycocosm.jgi.doe.gov/Cytmel1,0,0,0,9,1,0,3,13
Cytospora chrysosperma CFL2056 v1.0,https://mycocosm.jgi.doe.gov/Cytch1,2,3,6,8,17,4,4,44
Dacrymyces fennicus OMC1656 v1.0,https://mycocosm.jgi.doe.gov/Dactor1,0,0,0,5,2,0,3,10
Dacrymyces tortus OMC1693 v1.0,https://mycocosm.jgi.doe.gov/Dactort1,2,0,1,10,5,0,10,28
Dacryonaema rufum OMC1653 v1.0,https://mycocosm.jgi.doe.gov/Dacruf1,0,0,1,13,2,0,6,22
Dacryopinax primogenitus DJM 731 SSP1 v1.0,https://mycocosm.jgi.doe.gov/Dacsp1,0,0,0,6,2,0,2,10
Dactylonectria estremocensis MPI-CAGE-AT-0021 v1.0,https://mycocosm.jgi.doe.gov/Daces1,1,3,8,10,12,4,2,40
Dactylonectria macrodidyma MPI-CAGE-AT-0147 v1.0,https://mycocosm.jgi.doe.gov/Dacma1,2,5,7,11,16,4,5,50
Daedalea quercina v1.0,https://mycocosm.jgi.doe.gov/Daequ1,0,1,0,7,5,1,9,23
Daldinia bambusicola CBS 122872 v1.0,https://mycocosm.jgi.doe.gov/Dalba1,2,2,7,9,23,3,4,50
Daldinia caldariorum CBS 122874 v1.0,https://mycocosm.jgi.doe.gov/Dalcal1,3,1,5,8,23,4,2,46
Daldinia decipiens CBS 113046 v1.0,https://mycocosm.jgi.doe.gov/Daldec1,2,1,5,10,22,3,5,48
Daldinia eschscholtzii EC12 v1.0,https://mycocosm.jgi.doe.gov/DalEC12_1,2,1,6,11,23,3,6,52
Daldinia eschscholtzii FL0578 v1.0,https://mycocosm.jgi.doe.gov/Dales1,2,1,6,12,21,3,5,50
Daldinia grandis CBS 114736 v1.0,https://mycocosm.jgi.doe.gov/Dalgra1,2,1,5,9,19,3,4,43
Daldinia loculata AZ0526 v2.0,https://mycocosm.jgi.doe.gov/DallocAZ0526_2,3,1,4,8,19,3,3,41
Daldinia loculata CBS 113971 v1.0,https://mycocosm.jgi.doe.gov/Dalloc1,3,0,5,9,20,6,5,48
Daldinia loculatoides CBS 113279 v1.0,https://mycocosm.jgi.doe.gov/Dallocu1,3,1,5,12,20,3,4,48
Daldinia sp. FL1419 v1.0,https://mycocosm.jgi.doe.gov/DaFL1419_1,4,1,4,10,18,3,2,42
Daldinia vernicosa CBS 139.73 v1.0,https://mycocosm.jgi.doe.gov/Dalver1,2,0,8,7,25,3,6,51
Darksidea alpha DSE7016 v1.0,https://mycocosm.jgi.doe.gov/Daral1,6,4,11,11,44,5,6,87
Darksidea alpha DSE7024 v1.0,https://mycocosm.jgi.doe.gov/Daralp1,4,5,9,11,39,5,8,81
Debaryomyces fabryi CBS 789,https://mycocosm.jgi.doe.gov/Debfa1,0,0,0,1,0,2,0,3
Debaryomyces hansenii,https://mycocosm.jgi.doe.gov/Debha1,0,0,0,1,0,2,0,3
Debaryomyces subglobosus dep8 v1.0,https://mycocosm.jgi.doe.gov/Debsub1,0,0,0,1,0,2,0,3
Decorospora gaudefroyi v1.0,https://mycocosm.jgi.doe.gov/Decga1,0,2,3,4,10,2,0,21
Dekkera bruxellensis CBS 2499 v2.0,https://mycocosm.jgi.doe.gov/Dekbr2,0,0,0,1,0,2,0,3
Delitschia confertaspora ATCC 74209 v1.0,https://mycocosm.jgi.doe.gov/Delco1,3,0,5,9,11,2,0,30
Delphinella strobiligena CBS 735.71 v1.0,https://mycocosm.jgi.doe.gov/Delst1,0,0,5,9,3,2,2,21
Dendrothele bispora CBS 962.96 v1.0,https://mycocosm.jgi.doe.gov/Denbi1,0,0,5,35,10,0,37,87
Dendrothele microspora FP 101998 v1.0,https://mycocosm.jgi.doe.gov/Denmi1,2,0,5,16,6,1,11,41
Dendryphion nanum MPI-CAGE-CH-0243 v1.0,https://mycocosm.jgi.doe.gov/Denna1,0,0,8,7,13,4,1,33
Dentipellis sp. KUC8613 v1.0,https://mycocosm.jgi.doe.gov/Densp1,0,0,0,13,1,1,6,21
Diaporthaceae sp. PMI_573 v1.0,https://mycocosm.jgi.doe.gov/DiaPMI573_1,11,7,16,24,62,6,11,137
Diaporthe ampelina UCDDA912,https://mycocosm.jgi.doe.gov/Diaam1,5,3,4,14,24,5,4,59
Diaporthe helianthi str. 7/96,https://mycocosm.jgi.doe.gov/Diahe1,7,3,12,14,35,4,6,81
Dibaeis baeomyces,https://mycocosm.jgi.doe.gov/Dibbae1,0,0,4,14,25,3,5,51
Dichomitus squalens CBS463.89 v1.0,https://mycocosm.jgi.doe.gov/Dicsqu463_1,0,0,2,12,3,0,10,27
Dichomitus squalens CBS464.89 v1.0,https://mycocosm.jgi.doe.gov/Dicsqu464_1,0,0,2,10,4,0,11,27
Dichomitus squalens LYAD-421 SS1 v1.0,https://mycocosm.jgi.doe.gov/Dicsq1,0,0,2,11,4,0,9,26
Dichomitus squalens OM18370.1 v1.0,https://mycocosm.jgi.doe.gov/Dicsqu18370_1,0,0,2,11,4,0,9,26
Dichotomocladium elegans RSA 919- v1.0,https://mycocosm.jgi.doe.gov/Dicele1,0,0,0,1,1,1,0,3
Dichotomocladium robustum RSA 2353+ v1.0,https://mycocosm.jgi.doe.gov/Dicrob1,0,0,0,4,1,1,0,6
Didymella exigua CBS 183.55 v1.0,https://mycocosm.jgi.doe.gov/Didex1,1,0,3,4,8,2,0,18
Didymella zeae-maydis 3018,https://mycocosm.jgi.doe.gov/Didma1,1,0,4,7,10,2,1,25
Didymocrea sadasivanii CBS 438.65 v1.0,https://mycocosm.jgi.doe.gov/Didsa1,1,1,8,9,15,2,2,38
Digitatispora marina 008cD1.1 v1.0,https://mycocosm.jgi.doe.gov/Digmar1,0,1,1,4,1,0,9,16
Dimargaris cristalligena RSA 468 single-cell v1.0,https://mycocosm.jgi.doe.gov/DimcrSC1,0,0,21,7,0,2,0,30
Dioszegia cryoxerica v1.0,https://mycocosm.jgi.doe.gov/Diocr1,0,0,0,4,0,2,0,6
Diplodia seriata DS831,https://mycocosm.jgi.doe.gov/Dipse1,0,0,3,11,8,1,2,25
Disciotis venosa NRRL 24433 v1.0,https://mycocosm.jgi.doe.gov/Disven1,0,0,1,5,2,2,0,10
Dissoconium aciculare v1.0,https://mycocosm.jgi.doe.gov/Disac1,1,1,5,11,8,2,1,29
Dissophora decumbens NRRL 22416 v1.0,https://mycocosm.jgi.doe.gov/Disdec1,0,0,0,1,1,1,0,3
Dissophora ornata CBS 347.77 v1.0,https://mycocosm.jgi.doe.gov/Disorn1,0,0,2,3,1,1,0,7
Dothideomycetes sp. P12C66 v1.0,https://mycocosm.jgi.doe.gov/DotP12C66,2,0,1,7,5,2,1,18
Dothidotthia symphoricarpi v1.0,https://mycocosm.jgi.doe.gov/Dotsy1,2,0,6,6,12,2,3,31
Dothistroma septosporum NZE10 v1.0,https://mycocosm.jgi.doe.gov/Dotse1,1,1,5,9,4,3,1,24
Drechmeria coniospora ARSEF 6962,https://mycocosm.jgi.doe.gov/Dreco1,1,1,7,6,5,5,1,26
Drechslerella stenobrocha 248,https://mycocosm.jgi.doe.gov/Drest1,0,1,3,1,0,2,0,7
Durotheca rogersii YMJ 92031201 v1.0,https://mycocosm.jgi.doe.gov/Durrog2,2,0,8,9,21,4,6,50
Earliella scabrosa CIRM-BRFM 1817 v1.0,https://mycocosm.jgi.doe.gov/Earsca1,0,0,2,12,3,0,16,33
Echinodontium tinctorium Aho-80 v1.0,https://mycocosm.jgi.doe.gov/Echtin1,0,0,2,10,1,0,6,19
Edhazardia aedis USNM 41457,https://mycocosm.jgi.doe.gov/Edhae1,,,,,,,,0
Elaphomyces granulatus OSC145934,https://mycocosm.jgi.doe.gov/Elagr1,0,3,3,1,15,5,2,29
Ellisomyces anomalus CBS 243.57 v2.0,https://mycocosm.jgi.doe.gov/Ellano2,0,0,1,4,2,1,0,8
Elsinoe ampelina CECT 20119 v1.0,https://mycocosm.jgi.doe.gov/Elsamp1,1,1,5,6,3,2,1,19
Elytroderma deformans CBS183.68 v1.0,https://mycocosm.jgi.doe.gov/Elyde1,1,5,6,20,33,5,2,72
Emergomyces pasteurianus UAMH 9510,https://mycocosm.jgi.doe.gov/Emepa1,2,0,3,4,1,2,0,12
Emericellopsis sp. TS7 v1.0,https://mycocosm.jgi.doe.gov/AcreTS7_1,1,1,8,8,6,2,2,28
Emmonsia crescens UAMH 4076,https://mycocosm.jgi.doe.gov/Emmcr1,1,0,3,5,1,3,0,13
Emmonsia parva UAMH 130,https://mycocosm.jgi.doe.gov/Emmpa1,1,0,4,5,2,2,0,14
Encephalitozoon cuniculi GB-M1,https://mycocosm.jgi.doe.gov/Enccu1,,,,,,,,0
Encephalitozoon hellem ATCC 50504,https://mycocosm.jgi.doe.gov/Enche1,,,,,,,,0
Encephalitozoon intestinalis ATCC 50506,https://mycocosm.jgi.doe.gov/Encin1,,,,,,,,0
Encephalitozoon romaleae SJ-2008,https://mycocosm.jgi.doe.gov/Encro1,,,,,,,,0
Endocarpon pallidulum Enpa,https://mycocosm.jgi.doe.gov/Endpal1,2,1,7,6,9,3,2,30
Endocarpon pusillum Z07020,https://mycocosm.jgi.doe.gov/EndpusZ1,2,2,3,4,16,3,2,32
Endogone sp FLAS 59071,https://mycocosm.jgi.doe.gov/Endsp1,0,0,0,2,1,1,0,4
Enterocytozoon bieneusi H348,https://mycocosm.jgi.doe.gov/Entbi1,,,,,,,,0
Enterocytozoon hepatopenaei TH1,https://mycocosm.jgi.doe.gov/Enthe1,,,,,,,,0
Enterospora canceri GB1,https://mycocosm.jgi.doe.gov/Entca1,,,,,,,,0
Entoleuca mammata CFL468 v1.0,https://mycocosm.jgi.doe.gov/Entma1,1,3,8,9,25,3,4,53
Entophlyctis helioformis JEL805 v1.0,https://mycocosm.jgi.doe.gov/Enthel1,0,0,0,1,1,1,0,3
Epicoccum nigrum cont 1108929 v1.0,https://mycocosm.jgi.doe.gov/Epini1,2,2,6,6,8,2,1,27
Epithele typhae CBS 203.58 v1.0,https://mycocosm.jgi.doe.gov/Epityp1,0,0,2,12,4,0,9,27
Eremomyces bilateralis CBS 781.70 v1.0,https://mycocosm.jgi.doe.gov/Erebi1,0,1,2,1,3,2,1,10
Eremothecium cymbalariae DBVPG 7215,https://mycocosm.jgi.doe.gov/Erecy1,0,0,0,1,0,2,0,3
Eremothecium gossypii ATCC 10895,https://mycocosm.jgi.doe.gov/Ashgo1_1,0,0,0,1,0,2,0,3
Eremothecium gossypii FDAG1,https://mycocosm.jgi.doe.gov/Erego1,0,0,0,1,0,2,0,3
Erysiphe necator c,https://mycocosm.jgi.doe.gov/Erynec1,0,0,1,2,0,2,0,5
Erysiphe pisi Palampur-1 v2.0,https://mycocosm.jgi.doe.gov/Erypi2,0,0,1,3,1,2,0,7
Erysiphe pulchra Cflorida,https://mycocosm.jgi.doe.gov/Erypu1,0,0,1,2,2,2,0,7
Erythrobasidium hasegawianum ATCC 9536 v1.0,https://mycocosm.jgi.doe.gov/Eryha1,0,0,0,3,1,0,0,4
Escovopsis weberi CC031208-10,https://mycocosm.jgi.doe.gov/Escweb1,3,2,2,3,7,2,1,20
Eurotiomycetes sp. JF 03-3F Goopy v1.0,https://mycocosm.jgi.doe.gov/EurotioJF033F_1,0,0,4,8,3,2,0,17
Eurotiomycetes sp. JF 03-4F Slimy v1.0,https://mycocosm.jgi.doe.gov/EurotioJF034F_1,0,0,4,8,3,2,0,17
Eurotium rubrum v1.0,https://mycocosm.jgi.doe.gov/Eurhe1,2,0,4,8,12,2,1,29
Eutypa lata UCREL1,https://mycocosm.jgi.doe.gov/Eutla1,5,2,6,14,27,8,2,64
Exidia glandulosa v1.0,https://mycocosm.jgi.doe.gov/Exigl1,3,0,2,9,3,1,17,35
Exobasidium maculosum A7-4 v1.0,https://mycocosm.jgi.doe.gov/Exomac1,0,0,3,6,0,1,0,10
Exobasidium vaccinii MPITM v1.0,https://mycocosm.jgi.doe.gov/Exova1,0,0,1,4,1,1,0,7
Exophiala alcalophila ATCC 48519 v1.0,https://mycocosm.jgi.doe.gov/Exoalc1,0,0,3,3,3,2,0,11
Exophiala alcalophila J33 v1.0,https://mycocosm.jgi.doe.gov/Exoalc1_J33,0,0,3,3,3,2,0,11
Exophiala aquamarina CBS 119918,https://mycocosm.jgi.doe.gov/Exoaq1,0,0,4,8,5,5,1,23
Exophiala dermatitidis UT8656,https://mycocosm.jgi.doe.gov/Exode1,0,0,4,3,2,3,0,12
Exophiala mesophila CBS40295,https://mycocosm.jgi.doe.gov/Exome1,0,0,2,5,1,2,0,10
Exophiala oligosperma CBS72588,https://mycocosm.jgi.doe.gov/Exool1,0,0,4,5,2,3,0,14
Exophiala sideris CBS121828,https://mycocosm.jgi.doe.gov/Exosi1,0,0,2,3,2,2,0,9
Exophiala sp. JF 06-1F Fuzzy v1.0,https://mycocosm.jgi.doe.gov/ExoJF061F_1,0,0,4,9,2,3,0,18
Exophiala spinifera CBS89968,https://mycocosm.jgi.doe.gov/Exosp1,0,0,3,8,3,2,0,16
Exophiala xenobiotica CBS118157,https://mycocosm.jgi.doe.gov/Exoxe1,0,0,2,4,5,3,0,14
Fellomyces penicillatus Phaff54-35 v1.0,https://mycocosm.jgi.doe.gov/Felpe1,0,0,0,4,0,1,0,5
Fenestella fenestrata ATCC 66461 v1.0,https://mycocosm.jgi.doe.gov/Fenfe1,0,1,8,4,9,2,1,25
Fennellomyces linderi CBS 158.54 v1.0,https://mycocosm.jgi.doe.gov/FenlinCB54_1,0,0,0,5,1,1,0,7
Fennellomyces sp. T-0311 v1.0,https://mycocosm.jgi.doe.gov/Fenlin1,0,0,0,5,1,1,0,7
Fibroporia radiculosa TFFH 294,https://mycocosm.jgi.doe.gov/Fibra1,0,0,0,11,11,0,8,30
Fibulobasidium inconspicuum Phaff89-39 v1.0,https://mycocosm.jgi.doe.gov/Fibin1,0,0,0,3,0,1,0,4
Fibulorhizoctonia psychrophila CBS 109695 v1.0,https://mycocosm.jgi.doe.gov/Fibsp1,0,1,0,26,3,2,4,36
Filobasidium floriforme CBS 6241 v1.0,https://mycocosm.jgi.doe.gov/Filflo1,0,0,1,4,1,0,0,6
Filobasidium wieringae UCDFST 05-544 v1.0,https://mycocosm.jgi.doe.gov/Crywi1,0,0,1,4,1,0,0,6
Fimicolochytrium jonesii JEL569 v1.0,https://mycocosm.jgi.doe.gov/Fimjon1,0,1,3,2,2,1,0,9
Fistulina hepatica v1.0,https://mycocosm.jgi.doe.gov/Fishe1,0,0,2,10,3,0,4,19
Flagelloscypha sp. PMI_526 v1.0,https://mycocosm.jgi.doe.gov/FlaPMI526_1,4,0,0,4,4,0,13,25
Flavodon flavus 38 v1.0,https://mycocosm.jgi.doe.gov/Flafl1,0,0,0,9,1,0,6,16
Fomes fomentarius CIRM-BRFM 1821 v1.0,https://mycocosm.jgi.doe.gov/Fomfom1,0,0,1,11,5,1,15,33
Fomitiporia mediterranea v1.0,https://mycocosm.jgi.doe.gov/Fomme1,0,0,1,4,5,1,16,27
Fomitopsis betulina CIRM-BRFM 1772 v1.1,https://mycocosm.jgi.doe.gov/Pipbet1_1,1,0,0,5,5,0,8,19
Fomitopsis pinicola FP-58527 SS1 v3.0,https://mycocosm.jgi.doe.gov/Fompi3,0,0,0,8,7,0,12,27
Fomitopsis rosea Sig1Fomros20-ss v1.0,https://mycocosm.jgi.doe.gov/Fomro1,2,0,0,10,7,1,10,30
Fonsecaea erecta CBS 125763,https://mycocosm.jgi.doe.gov/Foner1,0,0,1,6,3,3,0,13
